Product,Type,Description,Price,,,,,,,,,,,,,,,,,,,,,
Insect Spraying Service,Service,Primary non-repellent treatment for common household insects sprayed around the perimeter of the property and as needed inside.,300,,,,,,,,,,,,,,,,,,,,,
Inspection,Service,"Inspection for treatment, service fee to be credited towards final invoice.",150,,,,,,,,,,,,,,,,,,,,,
Inspection Reimbursement,Service,Reimbursement of inspection deposit taken.,-150,,,,,,,,,,,,,,,,,,,,,
Insulation Services (install),Service,Installing insulation of equivalent R-grade to that removed.,120,,,,,,,,,,,,,,,,,,,,,
Insulation Services (removal),Service,Removing soiled insulation from crawlspace and dumping it offsite.,120,,,,,,,,,,,,,,,,,,,,,
Late fee,Service,,,,,,,,,,,,,,,,,,,,,,,
Late Fees,Service,30% Late Fee Added After 90 Days,0,,,,,,,,,,,,,,,,,,,,,
Manual Labor (General),Service,Input the description when you make invoice,120,,,,,,,,,,,,,,,,,,,,,
Materials Deposit,Service,Deposit taken to account for materials charges but  applicable account credit towards any balance.,1500,,,,,,,,,,,,,,,,,,,,,
Misc. Hardware,Non-inventory,(Enter description.),,,,,,,,,,,,,,,,,,,,,,
Mortar,Non-inventory,60# Bag of S-Type Mortar,13,,,,,,,,,,,,,,,,,,,,,
Non-transactional:Invoice Notation,Non-inventory,,,,,,,,,,,,,,,,,,,,,,,
Non-transactional:Note -  Outdoor Rodent Control,Non-inventory,"Effective treatment of rodents indoors is complete eradication, however when dealing with the outdoors, rodent control is focused on population management.

There are definite treatment methods that can be employed to deter rodents and often times if done in concert with sanitizing the area to remove attractive pheromones, it can be quite effective.  

Other environmental, social and geographical variables factor in as well and depending on where you live and who you live near: your treatment will range.  

As a company focused on honest communication and ethical business practices we always make this clear prior to starting work.  

Outdoor rodent work, based on the reasons aforementioned, cannot be guaranteed in good propriety.",0,,,,,,,,,,,,,,,,,,,,,
Non-transactional:Site Survey,Service,Review or follow-up on site to determine if work is needed.,0,,,,,,,,,,,,,,,,,,,,,
Non-transactional:Wait Time / Delay of Service,Service,Service time extension due to customer delay.  Billed hourly at normal labor rate.,120,,,,,,,,,,,,,,,,,,,,,
Note to Customer,Service,,0,,,,,,,,,,,,,,,,,,,,,
Personal Protective Equipment,Non-inventory,,,,,,,,,,,,,,,,,,,,,,,
Plastic Sheeting,Non-inventory,Covering for work site and treatment areas.  4-6mil.,28,,,,,,,,,,,,,,,,,,,,,
Powderpost Beetle Treatment,Service,Treatment for powderpost beetles using Bora-Care and Timbor treatments. Materials cost included.,0,,,,,,,,,,,,,,,,,,,,,
ProTecta Landscape Rat Bait Station,Non-inventory,"ProTecta Landscape Rat Bait Station (Granite) -  Disguised rodent bait station that looks like a gray rock.  

This line item includes the KatSense Mechanical Trap and the bait installed within the bait station.",65,,,,,,,,,,,,,,,,,,,,,
R30 Insulation UF/F Batts/Rolls,Non-inventory,"R30 Insulation, (un)faced batts or rolls.  Price based on current cost.",115,,,,,,,,,,,,,,,,,,,,,
Rat Trap (Kat Sense),Non-inventory,KatSense Mechanical Rodent Trap,9,,,,,,,,,,,,,,,,,,,,,
Rat Trap (Victor),Non-inventory,Victor Mechanical Rodent Trap,6,,,,,,,,,,,,,,,,,,,,,
Remediation,Service,"Vacuum rodent droppings, clear major debris from crawlspace, sanitize and disinfect effected areas to remove rodent pheromones and apply a commercial deodorizer.",120,,,,,,,,,,,,,,,,,,,,,
Rental Fee,Service,Fees incurred for rental equipment such as dumpsters or scaffolding.,,,,,,,,,,,,,,,,,,,,,,
Returned Check Fee,Service,Returned check fee.,50,,,,,,,,,,,,,,,,,,,,,
Rodent Control Services:Insulation Services:Insulation,Non-inventory,R30 Insulation Faced,,,,,,,,,,,,,,,,,,,,,,
Rodent Control Services:Subterranean Rodentia Treatment,Service,"Trapping, bait and/or sulfur gassing of gopher/mole/vole or other ground-dwelling  rodents.  Includes a follow up visit.",375,,,,,,,,,,,,,,,,,,,,,
Rodent Control Services:Trapping:Trapping Service,Service,"Four weeks of weekly trap checks, remove dead rodents, rebait traps and reposition traps as needed.",450,,,,,,,,,,,,,,,,,,,,,
Sales,Service,,,,,,,,,,,,,,,,,,,,,,,
Sanitizing Disinfectant,Non-inventory,Hospital Grade Cleaner and Deodorizer,14,,,,,,,,,,,,,,,,,,,,,
Silicone,Non-inventory,10 ounce tube of silicone/hybrid polymer,14,,,,,,,,,,,,,,,,,,,,,
Termite Treatment,Service,"Termite treatment using primary non-repellent treatments, IGRs, dessicants and borate salts.",750,,,,,,,,,,,,,,,,,,,,,
Trade Labor,Service,Labor charge for tradework,120,,,,,,,,,,,,,,,,,,,,,
Tradework:Delivery:Delivery/Hauling,Service,Delivery or removal of goods priced on an individualized basis.,150,,,,,,,,,,,,,,,,,,,,,
Tradework:Delivery:Dump Run,Service,Trip to Marin Recycling Center for refuse disposal.,80,,,,,,,,,,,,,,,,,,,,,
Tradework:Demolition / Site Prep,Service,Demolition prior to trade work or preparation of jobsite and materials.  Also used for junk hauling or complicated junk extractions from jobsites.,120,,,,,,,,,,,,,,,,,,,,,
Tradework:Vapor Barrier Installation,Service,"Vapor Barrier Installation for crawlspace area.  Includes cost of vapor barrier and materials for installation.

$1.70 per ft²",0,,,,,,,,,,,,,,,,,,,,,
Tradework:Wood Restoration:Sealant or Waterproofing,Non-inventory,Sealant and weather proofer with UV protection or CopperClear.,25,,,,,,,,,,,,,,,,,,,,,
Tradework:Wood Restoration:Wood Restoration,Service,"Water damage, dry rot or fungal decay restoration.",120,,,,,,,,,,,,,,,,,,,,,
Trap Check,Service,Service call for a traps check (single visit),75,,,,,,,,,,,,,,,,,,,,,
Treatment Follow-Up,Service,Retreatment within 14 days of original treatment.,75,,,,,,,,,,,,,,,,,,,,,
Treatments and IGRs:Aerosol Fogging,Service,Primary non-repellent treatment applied via aerosol foggers to the property.  Expect to be outside of the house while the aerosol fog pressurizes and during it's ventilation to safe levels.,475,,,,,,,,,,,,,,,,,,,,,
Tyvek Suit,Service,Tyvek suit for the prevention of exposure to chemicals and other biohazards while completing work in areas requiring PPE.,17.5,,,,,,,,,,,,,,,,,,,,,
Yellow Jacket/Wasp/Hornet Removal,Service,"Removal and treatment of yellow jackets, wasps or hornets.",300,,,,,,,,,,,,,,,,,,,,,
,Non-inventory,10 ounce tube of Liquid Nails Blue or Loc-Tite Sealant,9,,,,,,,,,,,,,,,,,,,,,
